date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,sma_50,bbl,bbm,bbu,bbb,bbp
2024-12-30 14:09:00,92765.63,92822.17,92728.81,92812.72,9.96008,48.57245622029774,-73.32300918686087,-99.1281999785654,25.805190791704533,93013.64620000002,92588.19009531914,92744.926,92901.66190468088,0.3379934869555464,0.7162682511643695
2024-12-30 14:10:00,92812.72,92812.73,92741.15,92741.15,11.074,44.94998299052461,-69.56935648609942,-93.21643128007221,23.64707479397279,93001.07719999999,92587.1693860525,92742.293,92897.41661394751,0.3345261561464901,0.4963158413766787
2024-12-30 14:11:00,92741.14,92868.11,92729.87,92868.11,12.1779,51.81508225278232,-55.70778406829049,-85.71470183771588,30.006917769425385,92993.7194,92591.6069998229,92752.2005,92912.7940001771,0.3462850462013556,0.8608785532171959
2024-12-30 14:12:00,92868.1,92888.0,92765.61,92765.61,29.97427,46.746567386964436,-52.389369392578374,-79.04963534868838,26.66026595611001,92984.00319999998,92595.47599020968,92754.977,92914.47800979031,0.3439190325933974,0.5333320773767519
2024-12-30 14:13:00,92764.96,92816.9,92743.5,92816.9,16.56065,49.41315375505639,-45.10093203249562,-72.25989468544984,27.158962652954216,92973.14640000001,92614.11185735153,92748.022,92881.93214264847,0.2887611827419249,0.7571799216912557
2024-12-30 14:14:00,92816.89,92880.14,92796.73,92880.14,7.88262,52.5669453209496,-33.8318608012778,-64.57428790861543,30.742427107337633,92965.037,92609.34845394068,92750.209,92891.06954605933,0.3037417329363094,0.9612043742371817
2024-12-30 14:15:00,92880.14,93012.18,92866.79,92904.83,24.20098,53.778528029406836,-22.6476954685495,-56.18896942060225,33.54127395205275,92957.851,92601.45522527497,92757.6445,92913.83377472502,0.3367685231054439,0.971176718949273
2024-12-30 14:16:00,92904.83,92957.98,92860.17,92860.18,48.21266,51.23004488495654,-17.188902738140314,-48.388956084109864,31.20005334596955,92949.4146,92601.0629622936,92763.35800000001,92925.65303770642,0.34991195059241315,0.7982900813490507
2024-12-30 14:17:00,92860.18,92978.62,92860.17,92901.61,14.43398,53.435052655020314,-9.411228630400728,-40.593410593368034,31.182181962967306,92941.65479999999,92606.77509236161,92774.593,92942.41090763838,0.3617755728411165,0.8784369671492575
2024-12-30 14:18:00,92901.61,92901.61,92833.7,92833.7,8.71243,49.48557324228527,-8.627680783829419,-34.200264631460314,25.572583847630895,92932.41519999999,92627.41237164341,92784.451,92941.48962835659,0.33850203706349347,0.656805368575195
2024-12-30 14:19:00,92840.87,92934.73,92840.87,92923.75,9.19197,54.30822911294593,-0.7319930888479576,-27.506610322937846,26.774617234089888,92925.0206,92636.01974114981,92796.6125,92957.2052588502,0.34611771814449477,0.8958382087407645
2024-12-30 14:20:00,92923.75,93056.51,92923.74,93043.39,24.61999,59.79957566202209,15.006360439598211,-19.004016170430635,34.01037661002884,92918.28559999999,92642.67935457556,92817.402,92992.12464542444,0.3764868260898691,1.1467049518710815
2024-12-30 14:21:00,93043.39,93065.98,92969.29,92969.29,17.18764,55.361684522693366,21.254855535225943,-10.95224182929932,32.20709736452526,92911.9328,92647.3680597962,92829.29550000001,93011.22294020382,0.39196126443470336,0.8847536683942513
